"codigo_ocorrencia";"aeronave_matricula";"aeronave_operador_categoria";"aeronave_tipo_veiculo";"aeronave_fabricante";"aeronave_modelo";"aeronave_tipo_icao";"aeronave_motor_tipo";"aeronave_motor_quantidade";"aeronave_pmd";"aeronave_pmd_categoria";"aeronave_assentos";"aeronave_ano_fabricacao";"aeronave_pais_fabricante";"aeronave_pais_registro";"aeronave_registro_categoria";"aeronave_registro_segmento";"aeronave_voo_origem";"aeronave_voo_destino";"aeronave_fase_operacao";"aeronave_fase_operacao_icao";"aeronave_tipo_operacao";"aeronave_nivel_dano";"total_fatalidades";"aeronave_dia_extracao"
"201308189721191";"PTSOF";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-110P1";"E110";"TURBOÉLICE";"BIMOTOR";"5670";"ENTRE 2250 E 5700 KG";"20";"1990";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
"201206227951836";"PTSOF";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-110P1";"E110";"TURBOÉLICE";"BIMOTOR";"5670";"ENTRE 2250 E 5700 KG";"20";"1990";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"TÁXI";"TAXI";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
"201304255617915";"PTEMT";"OPERADOR PARTICULAR";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"3";"1977";"BRASIL";"BRASIL";"TPP";"PARTICULAR";"****";"****";"DECOLAGEM";"TAKEOFF";"VOO PRIVADO";"NENHUM";"0";"2019-05-31"
"201005157838739";"PTGKX";"OPERADOR DE AERONAVE";"AVIÃO";"EMBRAER";"EMB-110P";"E110";"TURBOÉLICE";"BIMOTOR";"5600";"ENTRE 2250 E 5700 KG";"20";"1977";"BRASIL";"BRASIL";"TPX";"TÁXI AÉREO";"****";"****";"DECOLAGEM";"TAKEOFF";"TÁXI AÉREO";"NENHUM";"0";"2019-05-31"
"201004092544913";"PTDSO";"OPERADOR PARTICULAR";"AVIÃO";"CESSNA AIRCRAFT";"210K";"C210";"PISTÃO";"MONOMOTOR";"1724";"ATÉ 2250 KG";"6";"1970";"ESTADOS UNIDOS";"BRASIL";"TPP";"PARTICULAR";"****";"****";"POUSO";"LANDING";"VOO PRIVADO";"LEVE";"0";"2019-05-31"
"201105105006675";"PTDSO";"OPERADOR PARTICULAR";"AVIÃO";"CESSNA AIRCRAFT";"210K";"C210";"PISTÃO";"MONOMOTOR";"1724";"ATÉ 2250 KG";"6";"1970";"ESTADOS UNIDOS";"BRASIL";"TPP";"PARTICULAR";"SWNV";"SWUA";"POUSO";"LANDING";"VOO PRIVADO";"SUBSTANCIAL";"0";"2019-05-31"
"201511098156650";"PTEJF";"OPERADOR PARTICULAR";"AVIÃO";"EMBRAER";"EMB-810C";"PA34";"PISTÃO";"BIMOTOR";"2073";"ATÉ 2250 KG";"6";"1977";"BRASIL";"BRASIL";"TPP";"PARTICULAR";"SBFZ";"SNOG";"DESCIDA";"EN ROUTE";"VOO PRIVADO";"NENHUM";"0";"2019-05-31"
"201705021226576";"PTCHT";"AEROCLUBE";"AVIÃO";"PIPER AIRCRAFT";"PA-30";"PA30";"PISTÃO";"BIMOTOR";"1633";"ATÉ 2250 KG";"6";"1966";"ESTADOS UNIDOS";"BRASIL";"PRI";"INSTRUÇÃO";"SDAM";"SDAM";"CRUZEIRO";"EN ROUTE";"VOO DE INSTRUÇÃO";"SUBSTANCIAL";"2";"2019-05-31"
"201407054496919";"PTCHT";"OPERADOR PARTICULAR";"AVIÃO";"PIPER AIRCRAFT";"PA-30";"PA30";"PISTÃO";"BIMOTOR";"1633";"ATÉ 2250 KG";"6";"1966";"ESTADOS UNIDOS";"BRASIL";"TPP";"PARTICULAR";"****";"****";"CIRCUITO DE TRÁFEGO";"APPROACH";"VOO PRIVADO";"LEVE";"0";"2019-05-31"
"201712021225071";"PTJVM";"OPERADOR PARTICULAR";"AVIÃO";"BEECH AIRCRAFT";"A36";"BE36";"PISTÃO";"MONOMOTOR";"1633";"ATÉ 2250 KG";"6";"1974";"ESTADOS UNIDOS";"BRASIL";"TPP";"PARTICULAR";"SBMG";"SBMG";"ARREMETIDA NO SOLO";"APPROACH";"VOO PRIVADO";"SUBSTANCIAL";"0";"2019-05-31"
"201301056756311";"PPKBS";"AEROCLUBE";"AVIÃO";"XAVANTE";"A-122-B";"A122";"PISTÃO";"MONOMOTOR";"840";"ATÉ 2250 KG";"2";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"POUSO";"LANDING";"VOO DE INSTRUÇÃO";"LEVE";"0";"2019-05-31"
"201101023581475";"PPKBS";"AEROCLUBE";"AVIÃO";"XAVANTE";"A-122-B";"A122";"PISTÃO";"MONOMOTOR";"840";"ATÉ 2250 KG";"2";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201003213588565";"PPKBS";"AEROCLUBE";"AVIÃO";"XAVANTE";"A-122-B";"A122";"PISTÃO";"MONOMOTOR";"840";"ATÉ 2250 KG";"2";"1978";"BRASIL";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"RETA FINAL";"APPROACH";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
"201004305917589";"PPGJZ";"AEROCLUBE";"AVIÃO";"AERO BOERO";"AB-115";"AB11";"PISTÃO";"MONOMOTOR";"770";"ATÉ 2250 KG";"2";"1992";"ARGENTINA";"BRASIL";"PRI";"INSTRUÇÃO";"****";"****";"CORRIDA APÓS POUSO";"LANDING";"VOO DE INSTRUÇÃO";"NENHUM";"0";"2019-05-31"
