ibge;anomes;qtd_familias_beneficiarias_bolsa_familia;valor_repassado_bolsa_familia
210270;201907;3622;876922.0
210275;201907;2640;597165.0
210280;201907;3180;719715.0
210290;201907;5376;1321898.0
210300;201907;19048;3174405.0
210310;201907;2309;478985.0
210312;201907;1962;466430.0
210315;201907;2183;528997.0
210317;201907;3235;856513.0
210320;201907;14409;3665264.0
210325;201907;2548;642068.0
210330;201907;14025;2407397.0
210340;201907;6803;1384679.0
210350;201907;6913;1729043.0
210355;201907;3058;913850.0
210360;201907;9848;2203141.0
210370;201907;7164;1496250.0
210375;201907;1611;260907.0
210380;201907;3814;669821.0
210390;201907;1974;540841.0
210400;201907;3281;797546.0
210405;201907;3616;579185.0
210407;201907;1320;306098.0
210408;201907;1944;472193.0
210409;201907;2864;820089.0
210410;201907;2108;441204.0
210420;201907;2939;718480.0
210430;201907;1735;358153.0
210440;201907;3243;672498.0
210450;201907;1697;296800.0
210455;201907;2158;370111.0
210460;201907;2550;660065.0
210462;201907;1058;246625.0
210465;201907;1963;489290.0
210467;201907;4192;1103630.0
210470;201907;1044;196253.0
210480;201907;10018;1879862.0
210490;201907;2559;562169.0
210500;201907;4753;1131143.0
210510;201907;4668;1372771.0
210515;201907;2736;754275.0
210520;201907;1839;396392.0
210530;201907;14518;2478067.0
210535;201907;2385;599933.0
210540;201907;8792;1720741.0
210542;201907;3988;774461.0
210545;201907;1771;419720.0
210547;201907;2373;585495.0
210550;201907;3726;968641.0
210560;201907;2514;515695.0
210565;201907;973;283002.0
210570;201907;7934;1691663.0
210580;201907;1948;341099.0
210590;201907;3135;896030.0
210592;201907;2052;521050.0
210594;201907;1406;276358.0
210596;201907;1736;369358.0
210598;201907;1461;310454.0
210600;201907;1864;330296.0
210610;201907;1873;474668.0
210620;201907;1923;471919.0
210630;201907;2186;544731.0
210632;201907;3047;687258.0
210635;201907;1404;284264.0
210637;201907;1611;435908.0
210640;201907;3650;1216106.0
210650;201907;5902;1491730.0
210660;201907;5874;1180358.0
210663;201907;1905;421997.0
210667;201907;1541;431100.0
210670;201907;3487;991849.0
210675;201907;3447;808391.0
210680;201907;2959;684286.0
210690;201907;5550;1298051.0
210700;201907;1650;320723.0
210710;201907;3742;1001141.0
210720;201907;2315;670024.0
210725;201907;791;226528.0
210730;201907;784;143142.0
210735;201907;3326;715626.0
210740;201907;3642;867968.0
210745;201907;3410;768306.0
210750;201907;13248;2172143.0
210760;201907;4474;1147656.0
210770;201907;4543;1144815.0
210780;201907;5013;1165540.0
210790;201907;3110;804769.0
210800;201907;3663;886713.0
210805;201907;3223;989091.0
210810;201907;3683;653661.0
210820;201907;3937;673958.0
210825;201907;5249;1129750.0
210830;201907;5853;1306058.0
210840;201907;2464;477709.0
210845;201907;5099;1233489.0
210850;201907;3920;1146217.0
210860;201907;13279;2611514.0
210870;201907;4914;1037716.0
210880;201907;3268;725810.0
210890;201907;2859;446690.0
210900;201907;1780;233311.0
210905;201907;1443;302765.0
210910;201907;4249;775404.0
210920;201907;2468;719236.0
210923;201907;955;213808.0
210927;201907;3929;1127994.0
210930;201907;1688;453139.0
210940;201907;3300;721649.0
210945;201907;4652;1009412.0
210950;201907;2819;532973.0
210955;201907;986;179697.0
210960;201907;5621;1003194.0
210970;201907;754;150083.0
210975;201907;1176;256534.0
210980;201907;7836;1509985.0
210990;201907;9094;1796780.0
211000;201907;9618;1891529.0
211003;201907;3898;1141203.0
211010;201907;4919;1668671.0
211020;201907;5513;1261560.0
211023;201907;1546;327639.0
211027;201907;2418;509808.0
211030;201907;2732;457857.0
211040;201907;3720;1170333.0
211050;201907;7191;1645202.0
211060;201907;5417;1329590.0
211065;201907;1460;350600.0
211070;201907;4917;1038883.0
211080;201907;759;141897.0
211085;201907;1417;249121.0
211090;201907;2530;638586.0
211100;201907;5451;1252293.0
211102;201907;2321;579956.0
211105;201907;1480;272202.0
211107;201907;3119;846035.0
211110;201907;3330;581076.0
211120;201907;24007;4221559.0
211125;201907;1360;312767.0
211130;201907;77389;1.2469909E7
211140;201907;3539;727332.0
211150;201907;6499;1347273.0
211153;201907;1418;243488.0
211157;201907;660;157226.0
211160;201907;2225;461108.0
211163;201907;1298;381192.0
211167;201907;1265;347625.0
211170;201907;5300;1116383.0
211172;201907;1632;328064.0
211174;201907;2228;588610.0
211176;201907;2543;600774.0
211178;201907;3533;800781.0
211180;201907;3083;731005.0
211190;201907;2173;622201.0
211195;201907;925;163390.0
211200;201907;1146;224884.0
211210;201907;4907;1205602.0
211220;201907;20792;3827245.0
211223;201907;3219;502898.0
211227;201907;1347;419845.0
211230;201907;4919;874293.0
211240;201907;6759;1858523.0
